PRECCODE,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRESLAR,G20PRESKEN,G20PREOWRI,Winner,Winner Votes
2656,351,112,13,1,0,0,3,G20PREDBID,305468
2654,349,183,10,0,0,0,4,G20PREDBID,305468
2653,265,171,11,0,0,1,8,G20PREDBID,305468
2658,357,255,14,3,1,1,4,G20PREDBID,305468
2657,229,81,5,2,0,1,5,G20PREDBID,305468
2680,416,149,13,1,0,0,11,G20PREDBID,305468
2679,384,162,13,3,1,0,2,G20PREDBID,305468
2580,375,131,10,2,0,0,5,G20PREDBID,305468
2731,309,87,10,2,1,0,9,G20PREDBID,305468
2600,469,215,20,1,1,0,6,G20PREDBID,305468
2598,390,124,4,3,0,1,3,G20PREDBID,305468
2597,474,179,8,3,2,0,4,G20PREDBID,305468
2594,345,151,10,3,1,0,5,G20PREDBID,305468
2601,358,150,12,3,0,0,5,G20PREDBID,305468
2595,352,116,8,3,0,0,1,G20PREDBID,305468
2775,379,109,6,1,0,0,4,G20PREDBID,305468
2655,373,146,10,1,0,0,6,G20PREDBID,305468
2495,409,173,12,1,1,1,4,G20PREDBID,305468
2636,335,82,3,2,0,0,7,G20PREDBID,305468
2489,442,125,3,1,1,0,7,G20PREDBID,305468
2488,534,173,13,1,0,0,6,G20PREDBID,305468
2493,368,132,18,3,0,0,5,G20PREDBID,305468
2480,280,123,15,1,0,0,3,G20PREDBID,305468
2492,221,105,6,3,0,0,4,G20PREDBID,305468
2487,370,140,19,1,0,0,7,G20PREDBID,305468
2725,560,189,18,3,0,0,6,G20PREDBID,305468
2716,465,140,10,7,1,1,2,G20PREDBID,305468
2722,407,144,8,4,0,0,3,G20PREDBID,305468
2715,301,139,6,4,0,1,7,G20PREDBID,305468
2737,300,133,11,1,0,0,7,G20PREDBID,305468
2734,349,173,8,2,0,0,4,G20PREDBID,305468
2730,534,148,11,7,0,0,8,G20PREDBID,305468
2381,443,257,21,2,0,2,8,G20PREDBID,305468
2383,331,226,10,1,0,0,6,G20PREDBID,305468
2421,332,132,8,3,0,0,5,G20PREDBID,305468
2410,665,159,8,2,2,0,10,G20PREDBID,305468
2423,454,187,13,4,2,0,7,G20PREDBID,305468
2629,427,116,10,1,2,0,4,G20PREDBID,305468
2634,244,91,10,2,0,0,3,G20PREDBID,305468
2630,270,56,6,2,0,0,5,G20PREDBID,305468
2628,338,95,11,1,1,0,3,G20PREDBID,305468
2651,291,130,15,2,0,0,5,G20PREDBID,305468
2616,138,75,1,0,1,1,4,G20PREDBID,305468
2643,279,71,9,4,0,0,1,G20PREDBID,305468
2652,269,107,10,0,0,0,4,G20PREDBID,305468
2641,443,115,7,1,0,0,3,G20PREDBID,305468
2650,346,167,7,1,0,0,3,G20PREDBID,305468
2638,296,98,5,3,0,0,4,G20PREDBID,305468
2635,274,72,9,2,0,0,1,G20PREDBID,305468
2633,388,133,9,3,1,0,1,G20PREDBID,305468
2640,332,76,7,4,0,0,5,G20PREDBID,305468
2632,143,54,1,0,0,0,2,G20PREDBID,305468
2560,497,188,13,6,1,0,2,G20PREDBID,305468
2561,424,154,15,8,0,1,6,G20PREDBID,305468
2404,282,181,14,5,0,1,6,G20PREDBID,305468
2449,348,134,8,3,1,0,4,G20PREDBID,305468
2444,280,101,10,1,1,0,3,G20PREDBID,305468
2456,526,226,21,2,1,0,5,G20PREDBID,305468
2450,305,163,13,0,0,0,9,G20PREDBID,305468
2448,336,108,16,2,2,0,1,G20PREDBID,305468
2473,382,175,11,5,3,0,7,G20PREDBID,305468
2432,281,69,4,6,1,0,5,G20PREDBID,305468
2466,550,150,14,6,2,0,9,G20PREDBID,305468
2457,440,157,16,7,0,0,5,G20PREDBID,305468
2471,453,168,14,1,1,0,9,G20PREDBID,305468
2467,267,98,3,1,0,0,2,G20PREDBID,305468
2462,187,48,6,1,0,0,3,G20PREDBID,305468
173,46,12,0,0,0,0,1,G20PREDBID,305468
190,33,37,1,0,0,0,0,G20PREDBID,305468
258,339,89,5,1,0,2,2,G20PREDBID,305468
255,348,166,13,0,1,0,4,G20PREDBID,305468
98,315,116,8,1,1,0,12,G20PREDBID,305468
256,417,190,11,1,0,1,11,G20PREDBID,305468
136,211,261,10,0,0,0,1,G20PREDBID,305468
137,710,152,8,2,0,2,3,G20PREDBID,305468
126,247,89,5,1,0,0,2,G20PREDBID,305468
102,204,266,8,2,0,0,0,G20PREDBID,305468
154,167,57,2,1,2,0,2,G20PREDBID,305468
156,385,190,8,0,0,0,3,G20PREDBID,305468
225,439,175,10,3,1,0,6,G20PREDBID,305468
19,518,213,13,0,0,0,6,G20PREDBID,305468
10,450,153,17,2,0,0,3,G20PREDBID,305468
253,442,123,10,2,2,0,7,G20PREDBID,305468
223,263,98,6,2,0,0,3,G20PREDBID,305468
260,500,232,13,2,0,0,5,G20PREDBID,305468
227,504,140,14,5,0,0,3,G20PREDBID,305468
262,572,216,8,4,1,0,12,G20PREDBID,305468
259,390,117,6,5,1,0,3,G20PREDBID,305468
252,345,133,13,1,0,0,2,G20PREDBID,305468
257,460,173,9,3,0,1,4,G20PREDBID,305468
261,613,159,20,6,1,0,10,G20PREDBID,305468
254,460,121,16,3,1,1,3,G20PREDBID,305468
166,230,115,2,1,1,0,3,G20PREDBID,305468
165,498,207,9,1,1,0,8,G20PREDBID,305468
36,465,132,9,4,0,0,9,G20PREDBID,305468
2768,411,120,12,2,0,0,3,G20PREDBID,305468
2769,511,219,13,3,0,2,5,G20PREDBID,305468
2773,197,55,8,1,1,0,2,G20PREDBID,305468
2774,271,98,6,1,0,0,3,G20PREDBID,305468
2761,433,162,15,1,0,0,7,G20PREDBID,305468
2762,394,153,9,3,0,0,2,G20PREDBID,305468
2759,461,165,7,2,0,1,5,G20PREDBID,305468
2760,421,184,10,0,0,0,3,G20PREDBID,305468
2765,521,164,9,6,1,0,4,G20PREDBID,305468
2767,430,122,9,1,0,0,2,G20PREDBID,305468
2764,203,51,7,1,0,0,3,G20PREDBID,305468
2791,429,122,12,4,0,0,6,G20PREDBID,305468
2754,233,92,8,0,1,1,6,G20PREDBID,305468
2783,368,179,5,0,1,0,3,G20PREDBID,305468
2785,325,96,6,2,0,1,4,G20PREDBID,305468
2789,418,64,13,3,1,0,5,G20PREDBID,305468
2790,377,136,10,2,0,0,3,G20PREDBID,305468
2786,281,65,7,1,0,0,7,G20PREDBID,305468
2788,218,115,4,0,0,0,2,G20PREDBID,305468
2771,453,214,12,1,0,0,5,G20PREDBID,305468
35,145,200,1,0,1,0,2,G20PREDBID,305468
32,161,127,8,0,0,0,0,G20PREDBID,305468
59,77,181,4,2,0,0,1,G20PREDBID,305468
3814,278,103,11,0,0,0,4,G20PREDBID,305468
3820,135,78,3,0,0,0,2,G20PREDBID,305468
3826,292,79,2,2,1,1,2,G20PREDBID,305468
3825,253,96,6,1,0,0,4,G20PREDBID,305468
3707,260,129,1,0,0,0,0,G20PREDBID,305468
3760,373,122,7,1,1,0,2,G20PREDBID,305468
632,354,85,10,0,0,0,1,G20PREDBID,305468
642,308,106,3,2,0,1,2,G20PREDBID,305468
638,440,173,6,0,0,0,3,G20PREDBID,305468
3791,364,93,5,2,0,0,3,G20PREDBID,305468
622,302,68,2,0,0,0,3,G20PREDBID,305468
630,406,100,14,5,3,1,2,G20PREDBID,305468
627,473,113,8,0,1,0,1,G20PREDBID,305468
633,343,107,11,0,0,0,9,G20PREDBID,305468
636,350,120,9,3,0,0,2,G20PREDBID,305468
3809,436,62,9,2,0,0,3,G20PREDBID,305468
3806,299,141,21,3,0,0,3,G20PREDBID,305468
536,545,229,11,2,1,0,5,G20PREDBID,305468
525,385,169,8,0,0,0,3,G20PREDBID,305468
750,353,181,11,1,0,0,6,G20PREDBID,305468
749,294,116,2,1,1,0,3,G20PREDBID,305468
752,294,161,11,1,0,0,3,G20PREDBID,305468
618,327,104,7,1,0,0,2,G20PREDBID,305468
616,377,119,7,5,0,0,1,G20PREDBID,305468
620,409,132,12,1,0,0,2,G20PREDBID,305468
641,274,82,5,2,0,0,2,G20PREDBID,305468
619,242,79,7,0,0,0,2,G20PREDBID,305468
615,397,127,9,2,0,0,6,G20PREDBID,305468
639,296,129,9,0,0,0,5,G20PREDBID,305468
623,253,93,6,0,0,0,7,G20PREDBID,305468
624,606,195,15,0,1,0,3,G20PREDBID,305468
643,179,73,9,2,0,0,1,G20PREDBID,305468
610,291,171,9,5,1,0,5,G20PREDBID,305468
614,615,148,16,2,0,0,8,G20PREDBID,305468
421,491,167,12,3,0,0,2,G20PREDBID,305468
645,140,62,12,1,0,0,6,G20PREDBID,305468
646,320,124,5,0,0,0,7,G20PREDBID,305468
653,331,58,4,0,0,0,4,G20PREDBID,305468
695,410,109,17,2,0,1,4,G20PREDBID,305468
644,542,157,20,4,0,0,11,G20PREDBID,305468
629,440,115,18,0,0,0,4,G20PREDBID,305468
650,300,41,7,0,1,0,0,G20PREDBID,305468
628,496,121,18,5,3,0,4,G20PREDBID,305468
631,427,147,10,2,0,0,2,G20PREDBID,305468
696,556,132,7,3,0,0,3,G20PREDBID,305468
686,366,79,6,3,0,0,3,G20PREDBID,305468
676,358,130,6,2,1,1,7,G20PREDBID,305468
689,364,124,6,5,0,0,7,G20PREDBID,305468
501,419,138,7,1,0,0,7,G20PREDBID,305468
495,92,45,1,0,0,0,1,G20PREDBID,305468
677,390,97,10,4,0,0,3,G20PREDBID,305468
573,547,187,12,2,0,0,2,G20PREDBID,305468
321,182,109,2,2,0,0,2,G20PREDBID,305468
318,226,90,7,1,1,0,2,G20PREDBID,305468
572,510,113,6,5,1,1,5,G20PREDBID,305468
314,314,256,13,3,0,0,2,G20PREDBID,305468
533,183,121,1,1,0,0,2,G20PREDBID,305468
554,305,92,17,1,1,0,1,G20PREDBID,305468
535,476,136,12,1,1,0,3,G20PREDBID,305468
403,368,96,11,2,0,0,1,G20PREDBID,305468
400,375,100,7,2,1,0,2,G20PREDBID,305468
422,436,143,5,4,0,0,7,G20PREDBID,305468
389,303,100,4,3,0,0,0,G20PREDBID,305468
212,496,114,5,2,1,0,3,G20PREDBID,305468
432,337,223,11,2,0,1,4,G20PREDBID,305468
186,186,67,3,1,0,0,6,G20PREDBID,305468
442,350,137,21,2,1,0,6,G20PREDBID,305468
322,130,85,4,0,0,0,1,G20PREDBID,305468
473,589,148,10,3,0,1,10,G20PREDBID,305468
290,447,213,19,1,0,0,4,G20PREDBID,305468
340,270,146,8,1,0,0,0,G20PREDBID,305468
125,270,94,5,3,1,0,1,G20PREDBID,305468
324,243,113,4,2,1,0,1,G20PREDBID,305468
325,269,133,10,0,0,1,6,G20PREDBID,305468
91,354,151,9,4,0,0,2,G20PREDBID,305468
338,257,144,7,0,0,0,5,G20PREDBID,305468
323,252,113,7,1,0,0,4,G20PREDBID,305468
326,145,83,7,0,0,1,3,G20PREDBID,305468
356,580,181,13,2,0,0,6,G20PREDBID,305468
188,333,117,8,3,1,0,4,G20PREDBID,305468
191,207,72,4,0,0,0,4,G20PREDBID,305468
201,267,156,7,2,0,0,9,G20PREDBID,305468
203,442,179,7,2,0,0,5,G20PREDBID,305468
189,358,114,11,3,0,0,3,G20PREDBID,305468
190,335,89,11,5,0,0,6,G20PREDBID,305468
3083,346,232,12,0,0,0,4,G20PREDBID,305468
3313,520,136,13,0,4,0,8,G20PREDBID,305468
3315,473,194,6,1,0,0,0,G20PREDBID,305468
3321,277,124,5,2,0,0,2,G20PREDBID,305468
3150,402,292,16,4,0,1,7,G20PREDBID,305468
3151,457,203,21,5,1,1,1,G20PREDBID,305468
3327,222,121,5,0,0,0,1,G20PREDBID,305468
3195,396,176,11,3,1,0,3,G20PREDBID,305468
3148,570,154,12,0,0,2,6,G20PREDBID,305468
3147,588,104,21,10,0,1,5,G20PREDBID,305468
3316,462,111,20,7,4,1,3,G20PREDBID,305468
3210,469,222,18,1,0,0,5,G20PREDBID,305468
3221,375,200,13,0,0,0,4,G20PREDBID,305468
3211,512,237,15,2,0,0,6,G20PREDBID,305468
3220,265,139,7,1,0,0,4,G20PREDBID,305468
3216,517,178,14,0,0,0,11,G20PREDBID,305468
3208,585,165,14,4,2,0,6,G20PREDBID,305468
3218,494,190,16,3,2,0,11,G20PREDBID,305468
3193,587,225,14,1,1,1,6,G20PREDBID,305468
3219,381,189,18,2,0,0,6,G20PREDBID,305468
3192,215,100,4,0,0,0,4,G20PREDBID,305468
3212,343,187,13,3,0,0,2,G20PREDBID,305468
2922,320,135,11,1,0,0,10,G20PREDBID,305468
2921,282,107,5,3,1,0,2,G20PREDBID,305468
2914,556,201,16,1,1,0,6,G20PREDBID,305468
2923,446,157,13,2,1,0,7,G20PREDBID,305468
2920,275,100,11,0,0,0,7,G20PREDBID,305468
2913,474,197,13,0,0,0,9,G20PREDBID,305468
2924,609,182,8,1,2,0,3,G20PREDBID,305468
2863,299,96,6,0,0,0,3,G20PREDBID,305468
3109,302,106,6,1,2,1,4,G20PREDBID,305468
3134,256,65,6,1,0,0,7,G20PREDBID,305468
2910,302,104,8,0,0,1,4,G20PREDBID,305468
2865,423,152,12,1,0,0,2,G20PREDBID,305468
2909,403,149,6,0,1,1,9,G20PREDBID,305468
2915,264,92,8,1,0,0,2,G20PREDBID,305468
2912,361,82,11,4,0,0,4,G20PREDBID,305468
2926,168,120,4,0,0,0,2,G20PREDBID,305468
2919,319,98,4,4,1,0,5,G20PREDBID,305468
2916,207,46,1,1,0,0,3,G20PREDBID,305468
2925,372,99,9,3,0,0,1,G20PREDBID,305468
2907,363,131,8,5,0,0,2,G20PREDBID,305468
2911,209,69,10,2,0,1,3,G20PREDBID,305468
2908,337,130,17,1,0,0,8,G20PREDBID,305468
2933,220,112,6,0,0,0,2,G20PREDBID,305468
2934,252,74,5,1,0,0,1,G20PREDBID,305468
2959,313,136,16,1,0,1,5,G20PREDBID,305468
2969,307,90,7,0,1,0,4,G20PREDBID,305468
2932,339,97,11,2,0,0,1,G20PREDBID,305468
2931,322,84,5,4,0,0,2,G20PREDBID,305468
2918,506,142,12,4,1,0,4,G20PREDBID,305468
2917,451,128,19,6,0,0,8,G20PREDBID,305468
2966,363,94,14,8,3,1,2,G20PREDBID,305468
2965,477,146,15,3,0,0,9,G20PREDBID,305468
2967,320,64,7,2,0,2,2,G20PREDBID,305468
2964,225,137,15,2,1,0,3,G20PREDBID,305468
2968,564,122,10,6,0,0,4,G20PREDBID,305468
2962,328,103,2,4,0,0,5,G20PREDBID,305468
23911643,346,443,18,4,1,0,5,G20PREDBID,305468
23911661,230,299,12,3,0,0,4,G20PREDBID,305468
23911636,256,325,24,6,1,0,2,G20PREDBID,305468
22144131,534,293,20,3,0,1,9,G20PREDBID,305468
22144481,327,163,22,3,2,0,7,G20PREDBID,305468
22144527,508,209,10,0,0,0,2,G20PREDBID,305468
22144556,110,43,8,0,0,0,1,G20PREDBID,305468
22144209,437,275,17,4,0,0,5,G20PREDBID,305468
22121616,69,59,4,0,0,0,0,G20PREDBID,305468
22121407,333,129,13,6,2,0,2,G20PREDBID,305468
22121400,423,296,10,6,2,1,8,G20PREDBID,305468
21014708,202,307,20,0,0,0,5,G20PREDBID,305468
20144284,390,158,14,1,0,2,6,G20PREDBID,305468
20144324,584,242,22,4,4,0,4,G20PREDBID,305468
20144212,614,244,22,6,1,0,6,G20PREDBID,305468
20144065,553,199,9,4,1,0,6,G20PREDBID,305468
20144705,586,242,18,3,1,0,6,G20PREDBID,305468
20144775,237,83,6,2,1,0,2,G20PREDBID,305468
20144213,610,245,16,10,1,2,12,G20PREDBID,305468
20144446,487,230,19,6,0,0,11,G20PREDBID,305468
20144596,307,165,2,1,0,0,5,G20PREDBID,305468
14454358,39,24,0,0,0,0,1,G20PREDBID,305468
14454364,249,142,5,0,1,0,3,G20PREDBID,305468
14451726,314,215,16,2,2,0,5,G20PREDBID,305468
14451727,218,148,10,1,0,0,5,G20PREDBID,305468
14451724,538,383,21,10,1,1,8,G20PREDBID,305468
14451725,187,221,7,1,0,0,4,G20PREDBID,305468
14454312,422,404,26,4,0,0,7,G20PREDBID,305468
14454313,327,303,10,3,1,1,5,G20PREDBID,305468
14454315,378,236,10,6,0,0,7,G20PREDBID,305468
14454336,334,213,13,4,0,0,3,G20PREDBID,305468
21014037,183,267,16,2,0,0,6,G20PREDBID,305468
14454554,180,112,4,0,1,0,0,G20PREDBID,305468
14454580,292,254,15,2,0,0,6,G20PREDBID,305468
14454075,391,253,19,3,0,1,4,G20PREDBID,305468
14454291,283,291,12,5,1,0,7,G20PREDBID,305468
14454067,209,214,6,1,1,0,2,G20PREDBID,305468
14454072,149,166,4,0,0,0,5,G20PREDBID,305468
14454490,493,349,23,5,0,0,6,G20PREDBID,305468
14454493,220,118,6,3,0,0,0,G20PREDBID,305468
14451757,372,328,34,2,0,0,7,G20PREDBID,305468
14451774,433,255,15,4,0,0,2,G20PREDBID,305468
14454029,345,301,10,1,0,1,10,G20PREDBID,305468
14454045,393,366,25,3,0,0,9,G20PREDBID,305468
14454530,217,308,15,5,0,0,1,G20PREDBID,305468
14454531,371,235,16,2,0,0,4,G20PREDBID,305468
14451722,347,237,18,7,0,0,5,G20PREDBID,305468
14451723,360,315,14,5,0,0,8,G20PREDBID,305468
14454478,280,299,12,0,0,1,6,G20PREDBID,305468
14454480,373,231,9,4,1,0,2,G20PREDBID,305468
14454464,284,313,16,1,1,1,3,G20PREDBID,305468
14454477,283,194,14,6,0,0,4,G20PREDBID,305468
14454300,229,292,13,1,0,0,6,G20PREDBID,305468
14454311,13,12,0,0,0,0,1,G20PREDBID,305468
14454339,438,245,15,3,1,0,5,G20PREDBID,305468
14454345,295,296,15,2,0,0,4,G20PREDBID,305468
14454059,321,349,19,2,1,0,5,G20PREDBID,305468
14454066,267,274,18,2,0,0,5,G20PREDBID,305468
14454482,160,168,8,3,0,0,1,G20PREDBID,305468
14454485,42,33,0,0,0,0,0,G20PREDBID,305468
14454532,89,97,10,0,0,0,2,G20PREDBID,305468
14454549,242,292,8,1,0,0,2,G20PREDBID,305468
14454366,155,117,4,0,0,0,0,G20PREDBID,305468
14454458,348,207,10,2,1,0,5,G20PREDBID,305468
14444660,624,265,27,7,3,0,5,G20PREDBID,305468
14444684,549,272,19,2,1,0,4,G20PREDBID,305468
14441665,376,225,7,1,0,0,10,G20PREDBID,305468
14441666,379,206,9,2,0,1,4,G20PREDBID,305468
14441640,443,197,6,1,0,0,14,G20PREDBID,305468
14441652,248,142,4,1,0,0,8,G20PREDBID,305468
14444582,493,219,14,3,0,0,8,G20PREDBID,305468
14444584,506,268,13,4,0,0,5,G20PREDBID,305468
14454784,452,222,16,4,2,0,3,G20PREDBID,305468
14444590,437,261,17,5,0,0,8,G20PREDBID,305468
