NUMBER,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREBSEG,G20PREOWRI,Winner,Winner Votes
10-005,8,7,0,0,0,0,G20PREDBID,296087
18-004,235,111,4,0,2,1,G20PREDBID,296087
03-005,0,3,0,0,0,0,G20PREDBID,296087
25-003,20,29,1,1,1,0,G20PREDBID,296087
14-001,169,416,12,1,1,2,G20PREDBID,296087
25-004,783,610,14,9,5,6,G20PREDBID,296087
03-004,419,236,10,8,1,2,G20PREDBID,296087
18-002,581,1063,9,8,1,10,G20PREDBID,296087
13-002,482,683,13,5,1,6,G20PREDBID,296087
04-001,298,1366,18,5,0,2,G20PREDBID,296087
13-001,461,1412,29,9,2,4,G20PREDBID,296087
24-001,118,256,4,0,0,1,G20PREDBID,296087
23-001,503,2005,27,8,5,2,G20PREDBID,296087
16-001,783,1315,14,4,5,9,G20PREDBID,296087
05-001,252,1359,17,11,0,2,G20PREDBID,296087
15-001,169,854,8,2,0,3,G20PREDBID,296087
26-003,278,468,14,4,0,3,G20PREDBID,296087
26-002,539,803,19,8,1,6,G20PREDBID,296087
22-002,681,538,18,4,3,1,G20PREDBID,296087
26-004,534,1086,20,9,3,9,G20PREDBID,296087
26-001,475,936,13,9,1,1,G20PREDBID,296087
04-003,238,375,6,8,1,4,G20PREDBID,296087
04-005,147,303,1,1,1,1,G20PREDBID,296087
04-008,275,512,15,2,2,2,G20PREDBID,296087
04-002,133,210,5,4,2,1,G20PREDBID,296087
06-001,439,375,10,3,2,5,G20PREDBID,296087
29-001,428,913,13,2,2,3,G20PREDBID,296087
20-000,168,818,6,3,3,2,G20PREDBID,296087
01-000,76,417,6,2,0,0,G20PREDBID,296087
21-000,111,514,6,1,0,0,G20PREDBID,296087
16-000,187,878,3,6,1,0,G20PREDBID,296087
06-003,169,228,4,1,0,5,G20PREDBID,296087
02-000,81,429,5,0,0,3,G20PREDBID,296087
29-002,413,745,13,3,0,8,G20PREDBID,296087
06-005,333,369,14,4,1,6,G20PREDBID,296087
06-006,262,657,6,7,1,6,G20PREDBID,296087
12-000,559,881,28,10,3,7,G20PREDBID,296087
29-003,280,580,7,3,0,2,G20PREDBID,296087
24-000,191,652,5,1,3,10,G20PREDBID,296087
07-002,330,832,13,4,0,3,G20PREDBID,296087
31-000,138,615,6,1,0,2,G20PREDBID,296087
34-000,226,739,8,6,5,4,G20PREDBID,296087
03-000,80,460,2,2,0,0,G20PREDBID,296087
14-000,130,134,4,4,0,0,G20PREDBID,296087
04-004,374,563,2,6,3,10,G20PREDBID,296087
22-001,336,621,19,1,0,4,G20PREDBID,296087
05-006,72,281,5,1,0,0,G20PREDBID,296087
23-000,408,695,17,4,1,7,G20PREDBID,296087
22-002,20,69,0,0,0,0,G20PREDBID,296087
07-001,292,769,11,7,1,3,G20PREDBID,296087
05-004,275,415,4,2,1,4,G20PREDBID,296087
06-099,0,0,0,0,0,0,G20PREDBID,296087
26-001,1502,1432,43,16,8,14,G20PREDBID,296087
02-015,2415,1318,32,8,3,15,G20PREDBID,296087
02-010,2239,1078,37,14,8,27,G20PREDBID,296087
20-001,594,1199,39,13,2,13,G20PREDBID,296087
09-003,243,266,11,3,0,7,G20PREDBID,296087
02-016,1122,414,24,15,1,4,G20PREDBID,296087
02-014,1187,533,25,9,6,11,G20PREDBID,296087
02-006,1363,756,31,12,3,14,G20PREDBID,296087
23-001,2365,1515,54,17,12,32,G20PREDBID,296087
02-004,2190,851,45,26,11,17,G20PREDBID,296087
23-003,0,0,0,0,0,0,G20PREDBID,296087
23-002,25,8,0,0,0,0,G20PREDBID,296087
02-011,1398,525,27,13,6,6,G20PREDBID,296087
24-003,289,201,10,2,1,0,G20PREDBID,296087
02-013,1758,582,38,20,6,13,G20PREDBID,296087
24-002,418,349,12,2,1,3,G20PREDBID,296087
02-008,2175,970,50,15,7,12,G20PREDBID,296087
02-007,2024,880,45,21,5,17,G20PREDBID,296087
22-001,402,547,11,4,2,8,G20PREDBID,296087
16-001,1052,1548,52,11,3,13,G20PREDBID,296087
03-001,833,917,26,9,5,13,G20PREDBID,296087
06-001,345,950,16,7,1,6,G20PREDBID,296087
10-001,284,940,22,5,8,6,G20PREDBID,296087
01-002,2313,978,46,10,4,24,G20PREDBID,296087
21-001,597,770,16,5,4,11,G20PREDBID,296087
09-008,561,418,17,7,2,12,G20PREDBID,296087
21-004,1637,860,53,6,5,21,G20PREDBID,296087
21-002,1018,462,24,6,0,9,G20PREDBID,296087
07-007,309,252,5,6,0,7,G20PREDBID,296087
09-004,1278,1659,70,14,1,19,G20PREDBID,296087
02-018,960,465,19,7,2,16,G20PREDBID,296087
07-001,1065,831,43,9,2,11,G20PREDBID,296087
07-005,31,45,2,0,0,0,G20PREDBID,296087
07-003,1181,991,28,5,1,20,G20PREDBID,296087
01-001,1417,1186,41,11,2,18,G20PREDBID,296087
14-001,1308,1544,42,7,5,20,G20PREDBID,296087
09-002,1872,1827,50,11,7,37,G20PREDBID,296087
21-005,0,0,0,0,0,0,G20PREDBID,296087
21-003,732,430,16,5,1,17,G20PREDBID,296087
20-002,0,0,0,0,0,0,G20PREDBID,296087
21-006,0,0,0,0,0,0,G20PREDBID,296087
24-004,2,4,0,0,0,0,G20PREDBID,296087
24-005,470,273,4,2,3,4,G20PREDBID,296087
22-002,2,0,0,0,0,0,G20PREDBID,296087
23-004,0,0,0,0,0,0,G20PREDBID,296087
09-006,1621,1210,45,12,2,18,G20PREDBID,296087
25-001,1387,1231,51,19,4,8,G20PREDBID,296087
13-003,254,209,15,4,1,2,G20PREDBID,296087
13-001,1923,1644,58,23,7,37,G20PREDBID,296087
02-003,1673,606,42,10,2,16,G20PREDBID,296087
02-005,2363,826,44,22,7,27,G20PREDBID,296087
12-001,1219,1216,48,19,5,9,G20PREDBID,296087
02-017,1041,271,15,14,5,11,G20PREDBID,296087
21-008,8,9,1,0,0,1,G20PREDBID,296087
15-001,67,264,4,1,1,0,G20PREDBID,296087
01-003,756,650,36,6,4,11,G20PREDBID,296087
09-009,762,540,26,4,2,11,G20PREDBID,296087
24-006,10,14,2,1,0,0,G20PREDBID,296087
07-004,1424,797,24,3,4,23,G20PREDBID,296087
21-007,305,297,11,2,3,5,G20PREDBID,296087
02-001,1576,545,40,23,7,14,G20PREDBID,296087
07-006,0,0,0,0,0,0,G20PREDBID,296087
02-002,651,238,23,8,1,6,G20PREDBID,296087
13-002,34,72,0,0,0,0,G20PREDBID,296087
14-002,129,260,6,2,0,2,G20PREDBID,296087
07-002,2615,1312,47,14,4,36,G20PREDBID,296087
12-002,1,2,0,0,0,0,G20PREDBID,296087
06-001,357,843,17,7,1,5,G20PREDBID,296087
04-001,41,331,0,1,0,0,G20PREDBID,296087
10-001,262,821,24,2,0,1,G20PREDBID,296087
08-001,56,352,1,3,1,0,G20PREDBID,296087
05-001,231,830,9,1,1,3,G20PREDBID,296087
02-001,187,743,11,3,1,3,G20PREDBID,296087
03-001,211,1067,27,6,3,4,G20PREDBID,296087
07-001,335,868,20,6,1,3,G20PREDBID,296087
09-001,130,555,6,5,2,1,G20PREDBID,296087
12-001,71,369,4,1,1,1,G20PREDBID,296087
03-002,71,320,1,4,0,0,G20PREDBID,296087
13-001,44,240,3,1,0,0,G20PREDBID,296087
14-002,109,585,9,4,1,2,G20PREDBID,296087
08-002,60,379,4,1,0,1,G20PREDBID,296087
16-001,332,1358,30,5,2,2,G20PREDBID,296087
14-001,413,1236,23,9,1,4,G20PREDBID,296087
01-001,290,774,19,4,3,2,G20PREDBID,296087
10-000,129,696,9,2,1,3,G20PREDBID,296087
11-000,286,327,4,2,0,2,G20PREDBID,296087
18-000,150,851,9,1,0,3,G20PREDBID,296087
08-000,254,997,9,4,3,2,G20PREDBID,296087
13-000,165,784,9,4,0,1,G20PREDBID,296087
26-000,921,745,22,5,1,14,G20PREDBID,296087
09-000,82,437,2,3,1,3,G20PREDBID,296087
11-001,14,67,0,0,1,0,G20PREDBID,296087
