PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIPIE,G20PREOWRI,Winner,Winner Votes
Clarkstown 74,495,325,4,0,2,3,G20PREDBID,233226
Clarkstown 53,247,179,1,0,2,0,G20PREDBID,233226
Clarkstown 14,391,529,4,2,1,1,G20PREDBID,233226
Clarkstown 52,542,412,4,0,3,5,G20PREDBID,233226
Clarkstown 82,499,454,6,0,3,2,G20PREDBID,233226
Clarkstown 22,522,359,0,3,3,6,G20PREDBID,233226
Clarkstown 60,429,278,4,1,0,1,G20PREDBID,233226
Clarkstown 40,286,220,2,1,2,4,G20PREDBID,233226
Clarkstown 69,379,176,3,2,3,1,G20PREDBID,233226
Clarkstown 55,365,288,4,4,1,0,G20PREDBID,233226
Clarkstown 77,194,187,3,0,1,0,G20PREDBID,233226
Clarkstown 72,349,269,1,1,3,1,G20PREDBID,233226
Clarkstown 61,314,376,2,4,1,2,G20PREDBID,233226
Clarkstown 25,227,192,1,2,0,0,G20PREDBID,233226
Clarkstown 1,305,262,2,2,2,0,G20PREDBID,233226
Clarkstown 42,312,312,5,3,1,0,G20PREDBID,233226
Clarkstown 63,500,409,5,1,0,2,G20PREDBID,233226
Clarkstown 36,532,382,5,2,1,1,G20PREDBID,233226
Clarkstown 29,407,307,4,2,5,5,G20PREDBID,233226
Clarkstown 16,233,201,0,2,1,2,G20PREDBID,233226
Clarkstown 46,186,172,2,1,0,5,G20PREDBID,233226
Clarkstown 13,245,251,3,3,0,7,G20PREDBID,233226
Clarkstown 76,298,97,0,0,1,0,G20PREDBID,233226
Clarkstown 59,382,289,3,2,1,0,G20PREDBID,233226
Clarkstown 67,390,326,4,2,0,2,G20PREDBID,233226
Clarkstown 24,401,387,2,2,3,0,G20PREDBID,233226
Clarkstown 8,280,303,4,0,2,1,G20PREDBID,233226
Clarkstown 58,255,181,4,0,0,0,G20PREDBID,233226
Clarkstown 38,390,267,2,2,4,0,G20PREDBID,233226
Clarkstown 30,251,292,7,0,2,2,G20PREDBID,233226
Clarkstown 27,353,376,6,0,0,4,G20PREDBID,233226
Clarkstown 48,187,198,1,3,1,1,G20PREDBID,233226
Clarkstown 79,504,152,3,0,3,1,G20PREDBID,233226
Clarkstown 43,488,332,3,4,3,3,G20PREDBID,233226
Clarkstown 19,354,397,4,2,2,1,G20PREDBID,233226
Clarkstown 71,110,144,2,1,1,1,G20PREDBID,233226
Clarkstown 51,393,337,1,1,1,3,G20PREDBID,233226
Clarkstown 65,282,319,5,0,0,1,G20PREDBID,233226
Clarkstown 75,468,320,7,2,3,0,G20PREDBID,233226
Clarkstown 32,390,248,3,3,0,1,G20PREDBID,233226
Clarkstown 66,699,348,2,2,3,3,G20PREDBID,233226
Clarkstown 31,449,329,2,0,0,2,G20PREDBID,233226
Clarkstown 45,278,301,4,1,3,1,G20PREDBID,233226
Clarkstown 64,307,221,1,2,1,3,G20PREDBID,233226
Clarkstown 80,304,130,4,0,2,1,G20PREDBID,233226
Clarkstown 10,516,46,0,1,2,0,G20PREDBID,233226
Clarkstown 21,378,28,0,0,1,0,G20PREDBID,233226
Clarkstown 57,384,330,2,2,1,3,G20PREDBID,233226
Clarkstown 35,672,361,1,4,1,4,G20PREDBID,233226
Clarkstown 73,699,426,4,1,0,2,G20PREDBID,233226
Clarkstown 11,410,397,8,1,1,2,G20PREDBID,233226
Clarkstown 54,383,92,0,2,3,0,G20PREDBID,233226
Clarkstown 44,443,375,2,1,3,3,G20PREDBID,233226
Clarkstown 3,175,238,2,1,2,1,G20PREDBID,233226
Clarkstown 6,222,89,3,2,1,6,G20PREDBID,233226
Clarkstown 34,434,415,5,2,5,1,G20PREDBID,233226
Orangetown 15,239,46,3,0,1,0,G20PREDBID,233226
Clarkstown 18,169,128,0,0,0,0,G20PREDBID,233226
Orangetown 18,439,105,1,5,1,2,G20PREDBID,233226
Orangetown 5,421,75,3,2,0,3,G20PREDBID,233226
Clarkstown 20,238,43,0,1,2,1,G20PREDBID,233226
Clarkstown 81,446,344,1,0,1,3,G20PREDBID,233226
Clarkstown 33,193,180,9,0,1,1,G20PREDBID,233226
Clarkstown 49,549,88,2,3,1,1,G20PREDBID,233226
Clarkstown 5,199,206,1,0,0,0,G20PREDBID,233226
Orangetown 8,426,79,7,2,0,1,G20PREDBID,233226
Clarkstown 28,304,240,2,1,1,6,G20PREDBID,233226
Clarkstown 47,382,289,2,1,1,0,G20PREDBID,233226
Orangetown 7,405,59,5,3,0,2,G20PREDBID,233226
Orangetown 2,610,88,1,1,2,1,G20PREDBID,233226
Clarkstown 15,298,268,0,3,0,1,G20PREDBID,233226
Clarkstown 50,154,232,3,0,0,4,G20PREDBID,233226
Orangetown 32,163,60,0,0,0,4,G20PREDBID,233226
Clarkstown 12,264,251,9,1,1,2,G20PREDBID,233226
Orangetown 40,214,227,4,2,1,0,G20PREDBID,233226
Clarkstown 70,213,310,5,2,1,1,G20PREDBID,233226
Orangetown 26,401,432,6,3,5,3,G20PREDBID,233226
Orangetown 43,207,336,2,2,0,2,G20PREDBID,233226
Orangetown 10,231,287,6,2,2,1,G20PREDBID,233226
Orangetown 45,210,445,8,1,1,2,G20PREDBID,233226
Orangetown 25,166,296,3,0,5,3,G20PREDBID,233226
Orangetown 24,181,313,5,0,1,2,G20PREDBID,233226
Orangetown 3,220,336,2,1,2,0,G20PREDBID,233226
Orangetown 22,239,421,7,1,3,6,G20PREDBID,233226
Orangetown 23,169,281,3,2,2,4,G20PREDBID,233226
Orangetown 16,356,224,1,1,3,2,G20PREDBID,233226
Orangetown 54,123,241,3,0,2,1,G20PREDBID,233226
Orangetown 20,317,529,10,1,0,4,G20PREDBID,233226
Orangetown 29,224,375,5,2,3,1,G20PREDBID,233226
Orangetown 28,298,328,12,0,0,3,G20PREDBID,233226
Orangetown 30,167,301,1,1,6,0,G20PREDBID,233226
Orangetown 19,176,332,2,2,0,3,G20PREDBID,233226
Orangetown 41,334,474,2,2,1,4,G20PREDBID,233226
Orangetown 53,436,599,6,2,2,2,G20PREDBID,233226
Orangetown 56,271,241,4,1,0,0,G20PREDBID,233226
Orangetown 34,215,345,9,1,0,2,G20PREDBID,233226
Orangetown 9,417,484,8,1,4,1,G20PREDBID,233226
Orangetown 57,198,195,0,0,0,1,G20PREDBID,233226
Orangetown 17,261,375,3,1,3,3,G20PREDBID,233226
Orangetown 36,22,21,0,0,1,0,G20PREDBID,233226
Orangetown 55,338,323,3,2,1,1,G20PREDBID,233226
Orangetown 42,525,442,9,2,6,6,G20PREDBID,233226
Orangetown 49,424,391,2,4,2,3,G20PREDBID,233226
Orangetown 39,476,450,9,1,2,1,G20PREDBID,233226
Orangetown 51,219,189,2,0,1,1,G20PREDBID,233226
Orangetown 13,316,215,2,1,1,3,G20PREDBID,233226
Orangetown 47,287,315,4,0,1,2,G20PREDBID,233226
Orangetown 21,302,185,4,4,3,1,G20PREDBID,233226
Orangetown 50,256,195,3,1,0,2,G20PREDBID,233226
Ramapo 22,54,58,1,0,0,0,G20PREDBID,233226
Ramapo 81,160,43,0,0,1,0,G20PREDBID,233226
Ramapo 72,46,70,0,0,0,0,G20PREDBID,233226
Ramapo 1,226,357,2,0,3,2,G20PREDBID,233226
Ramapo 37,162,385,3,1,0,2,G20PREDBID,233226
Ramapo 48,153,194,3,1,0,1,G20PREDBID,233226
Ramapo 39,235,270,3,3,1,1,G20PREDBID,233226
Ramapo 32,154,145,0,1,0,0,G20PREDBID,233226
Ramapo 59,246,464,2,4,1,0,G20PREDBID,233226
Ramapo 4,189,236,8,1,1,1,G20PREDBID,233226
Ramapo 54,205,406,1,0,0,4,G20PREDBID,233226
Ramapo 44,123,331,2,0,1,2,G20PREDBID,233226
Ramapo 50,371,138,3,3,2,3,G20PREDBID,233226
Ramapo 5,257,172,2,0,0,2,G20PREDBID,233226
Ramapo 15,154,219,2,1,1,2,G20PREDBID,233226
Ramapo 33,48,245,1,0,0,0,G20PREDBID,233226
Ramapo 38,114,492,2,1,1,1,G20PREDBID,233226
Ramapo 62,273,198,1,1,1,2,G20PREDBID,233226
Ramapo 86,131,548,1,1,2,2,G20PREDBID,233226
Ramapo 24,38,351,2,0,0,1,G20PREDBID,233226
Ramapo 56,62,678,2,0,0,1,G20PREDBID,233226
Ramapo 20,27,355,1,0,1,0,G20PREDBID,233226
Ramapo 75,267,175,6,2,0,3,G20PREDBID,233226
Ramapo 98,4,1085,0,0,0,0,G20PREDBID,233226
Ramapo 80,141,56,0,0,1,1,G20PREDBID,233226
Ramapo 58,0,604,1,0,0,0,G20PREDBID,233226
Ramapo 87,261,64,0,1,1,0,G20PREDBID,233226
Ramapo 23,327,61,0,2,1,0,G20PREDBID,233226
Ramapo 10,512,78,0,0,0,0,G20PREDBID,233226
Ramapo 79,389,265,3,0,2,2,G20PREDBID,233226
Ramapo 18,39,384,0,1,0,5,G20PREDBID,233226
Ramapo 28,14,453,0,0,0,0,G20PREDBID,233226
Ramapo 36,80,437,1,0,0,2,G20PREDBID,233226
Ramapo 2,431,283,1,0,2,7,G20PREDBID,233226
Ramapo 47,511,98,0,1,1,1,G20PREDBID,233226
Ramapo 64,81,452,0,0,1,0,G20PREDBID,233226
Ramapo 74,35,386,0,0,0,1,G20PREDBID,233226
Ramapo 97,5,839,0,0,0,0,G20PREDBID,233226
Ramapo 6,227,68,0,1,0,0,G20PREDBID,233226
Ramapo 89,320,55,0,2,2,1,G20PREDBID,233226
Ramapo 52,0,189,0,0,0,1,G20PREDBID,233226
Ramapo 63,508,31,0,3,0,0,G20PREDBID,233226
Ramapo 94,438,55,0,1,0,1,G20PREDBID,233226
Ramapo 49,12,242,1,0,0,0,G20PREDBID,233226
Ramapo 41,17,348,0,0,0,0,G20PREDBID,233226
Ramapo 83,353,181,4,2,2,1,G20PREDBID,233226
Ramapo 85,7,465,0,0,0,0,G20PREDBID,233226
Ramapo 16,434,225,1,1,1,0,G20PREDBID,233226
Ramapo 84,55,735,0,1,0,1,G20PREDBID,233226
Ramapo 21,7,781,1,0,0,0,G20PREDBID,233226
Ramapo 70,389,76,0,0,1,0,G20PREDBID,233226
Ramapo 71,213,257,0,0,0,2,G20PREDBID,233226
Ramapo 13,418,120,0,0,3,0,G20PREDBID,233226
Ramapo 26,98,196,0,0,0,1,G20PREDBID,233226
Ramapo 27,257,199,0,1,1,0,G20PREDBID,233226
Ramapo 7,415,327,1,4,2,4,G20PREDBID,233226
Ramapo 88,3,454,1,0,0,2,G20PREDBID,233226
Ramapo 11,235,193,0,2,0,0,G20PREDBID,233226
Ramapo 30,13,395,1,1,1,2,G20PREDBID,233226
Ramapo 40,20,544,2,0,0,2,G20PREDBID,233226
Ramapo 90,362,288,4,0,2,1,G20PREDBID,233226
Ramapo 31,374,355,3,6,3,1,G20PREDBID,233226
Ramapo 12,314,35,0,2,0,2,G20PREDBID,233226
Ramapo 57,231,328,1,0,3,1,G20PREDBID,233226
Ramapo 17,512,348,6,5,2,0,G20PREDBID,233226
Ramapo 66,316,200,2,2,0,1,G20PREDBID,233226
Ramapo 8,466,101,2,1,0,0,G20PREDBID,233226
Ramapo 73,112,86,0,2,1,0,G20PREDBID,233226
Ramapo 25,64,674,0,0,2,1,G20PREDBID,233226
Ramapo 60,106,615,1,0,0,4,G20PREDBID,233226
Ramapo 77,281,180,1,2,2,1,G20PREDBID,233226
Ramapo 51,470,165,0,0,2,1,G20PREDBID,233226
Ramapo 69,323,230,3,2,2,0,G20PREDBID,233226
Ramapo 65,618,174,1,3,1,2,G20PREDBID,233226
Ramapo 61,285,167,3,2,2,1,G20PREDBID,233226
Ramapo 76,197,252,2,3,3,2,G20PREDBID,233226
Ramapo 53,233,105,0,1,1,0,G20PREDBID,233226
Ramapo 82,184,87,0,0,0,0,G20PREDBID,233226
Ramapo 3,264,367,0,2,4,1,G20PREDBID,233226
Ramapo 34,220,453,2,0,0,1,G20PREDBID,233226
Ramapo 9,173,241,2,1,0,1,G20PREDBID,233226
Ramapo 29,405,375,4,3,2,3,G20PREDBID,233226
Ramapo 46,156,187,2,0,1,4,G20PREDBID,233226
Ramapo 67,292,309,4,3,1,2,G20PREDBID,233226
Ramapo 43,369,351,0,4,2,0,G20PREDBID,233226
Ramapo 68,207,203,0,3,0,1,G20PREDBID,233226
Ramapo 19,418,397,5,0,2,4,G20PREDBID,233226
Ramapo 42,270,34,0,0,0,0,G20PREDBID,233226
Ramapo 35,0,528,0,0,0,0,G20PREDBID,233226
Ramapo 93,13,515,0,0,0,3,G20PREDBID,233226
Ramapo 96,30,586,0,0,0,3,G20PREDBID,233226
Ramapo 95,2,496,0,0,0,0,G20PREDBID,233226
Ramapo 55,2,826,0,0,0,0,G20PREDBID,233226
Clarkstown 41,403,175,7,1,1,0,G20PREDBID,233226
Clarkstown 62,28,1,0,0,0,0,G20PREDBID,233226
Ramapo 91,84,34,0,0,0,0,G20PREDBID,233226
Ramapo 92,256,115,0,0,2,0,G20PREDBID,233226
Ramapo 104,17,11,0,0,0,0,G20PREDBID,233226
Ramapo 105,18,5,0,0,0,0,G20PREDBID,233226
Ramapo 78,280,141,3,0,2,5,G20PREDBID,233226
Ramapo 107,3,2,0,0,0,0,G20PREDBID,233226
Ramapo 106,0,11,0,0,0,0,G20PREDBID,233226
Ramapo 14,33,350,1,0,0,1,G20PREDBID,233226
Ramapo 99,16,11,0,0,0,0,G20PREDBID,233226
Ramapo 100,0,1,0,0,0,0,G20PREDBID,233226
Ramapo 101,9,81,0,0,0,0,G20PREDBID,233226
Ramapo 45,0,69,0,0,0,0,G20PREDBID,233226
Ramapo 102,1,123,0,0,0,0,G20PREDBID,233226
Ramapo 103,9,104,0,0,0,0,G20PREDBID,233226
Ramapo 108,35,14,0,0,0,0,G20PREDBID,233226
Ramapo 109,1,0,0,0,0,0,G20PREDBID,233226
Ramapo 110,100,87,3,0,2,0,G20PREDBID,233226
Orangetown 33,397,204,6,5,0,2,G20PREDBID,233226
Stony Point 3,215,365,6,3,2,0,G20PREDBID,233226
Stony Point 2,323,410,5,1,2,2,G20PREDBID,233226
Stony Point 5,173,275,4,1,1,1,G20PREDBID,233226
Haverstraw 12,74,60,1,0,0,0,G20PREDBID,233226
Haverstraw 6,367,110,3,4,2,1,G20PREDBID,233226
Haverstraw 8,171,46,0,0,1,0,G20PREDBID,233226
Haverstraw 10,554,256,3,1,2,3,G20PREDBID,233226
Clarkstown 2,400,360,1,2,3,0,G20PREDBID,233226
Clarkstown 17,300,331,3,1,2,4,G20PREDBID,233226
Clarkstown 23,412,127,3,1,3,2,G20PREDBID,233226
Clarkstown 4,319,63,0,2,0,4,G20PREDBID,233226
Orangetown 46,321,95,3,0,0,0,G20PREDBID,233226
Orangetown 11,613,104,5,7,1,3,G20PREDBID,233226
Orangetown 48,438,122,2,0,2,4,G20PREDBID,233226
Orangetown 14,467,95,3,0,3,2,G20PREDBID,233226
Orangetown 1,667,217,4,3,2,3,G20PREDBID,233226
Orangetown 12,494,190,5,1,1,3,G20PREDBID,233226
Mount Pleasant 22,388,205,8,7,0,0,G20PREDBID,233226
Mount Pleasant 17,342,135,7,1,0,2,G20PREDBID,233226
Mount Pleasant 31,288,138,7,1,1,0,G20PREDBID,233226
Cortlandt 3,130,161,1,1,0,0,G20PREDBID,233226
Cortlandt 16,201,247,7,1,0,0,G20PREDBID,233226
Cortlandt 34,495,322,6,2,5,0,G20PREDBID,233226
Cortlandt 5,400,211,4,2,1,0,G20PREDBID,233226
Cortlandt 4,333,282,4,4,1,0,G20PREDBID,233226
White Plains City 1,580,243,4,0,1,2,G20PREDBID,233226
Peekskill City 15,235,91,0,1,3,0,G20PREDBID,233226
Peekskill City 10,417,175,2,4,1,1,G20PREDBID,233226
Peekskill City 9,369,111,2,2,2,1,G20PREDBID,233226
Peekskill City 8,307,81,3,2,1,0,G20PREDBID,233226
Cortlandt 11,408,229,10,0,0,0,G20PREDBID,233226
Peekskill City 19,448,224,1,3,4,0,G20PREDBID,233226
Cortlandt 29,177,47,3,3,1,0,G20PREDBID,233226
Cortlandt 19,211,59,2,0,0,0,G20PREDBID,233226
Cortlandt 22,698,320,5,11,4,0,G20PREDBID,233226
Cortlandt 31,345,131,4,2,1,0,G20PREDBID,233226
Cortlandt 39,514,244,6,2,2,0,G20PREDBID,233226
Cortlandt 7,399,106,2,3,1,0,G20PREDBID,233226
Ossining 3,525,100,1,0,1,0,G20PREDBID,233226
Ossining 8,516,130,2,0,3,0,G20PREDBID,233226
Ossining 5,570,71,2,1,0,0,G20PREDBID,233226
Ossining 23,365,144,2,0,2,0,G20PREDBID,233226
Ossining 21,421,172,4,2,1,0,G20PREDBID,233226
Cortlandt 10,540,195,10,3,4,0,G20PREDBID,233226
Mount Pleasant 32,604,235,7,2,4,0,G20PREDBID,233226
Mount Pleasant 16,582,255,4,4,3,0,G20PREDBID,233226
Peekskill City 5,337,138,1,3,1,0,G20PREDBID,233226
Peekskill City 6,178,26,0,0,0,0,G20PREDBID,233226
Peekskill City 4,352,98,0,2,3,0,G20PREDBID,233226
Peekskill City 14,123,74,0,3,1,1,G20PREDBID,233226
Cortlandt 35,238,203,5,1,0,1,G20PREDBID,233226
Peekskill City 22,226,79,1,2,2,0,G20PREDBID,233226
Peekskill City 7,250,116,0,2,1,0,G20PREDBID,233226
Peekskill City 16,413,224,3,2,1,0,G20PREDBID,233226
Peekskill City 21,413,118,1,1,2,0,G20PREDBID,233226
Peekskill City 17,341,85,0,1,2,0,G20PREDBID,233226
Peekskill City 18,133,48,0,1,1,0,G20PREDBID,233226
Peekskill City 23,311,119,2,0,1,1,G20PREDBID,233226
Cortlandt 12,374,239,9,0,0,1,G20PREDBID,233226
Cortlandt 2,205,259,4,0,4,0,G20PREDBID,233226
Cortlandt 1,320,364,6,2,0,0,G20PREDBID,233226
Peekskill City 20,119,57,4,2,0,0,G20PREDBID,233226
Peekskill City 11,435,172,4,6,3,0,G20PREDBID,233226
Peekskill City 13,416,194,6,2,5,1,G20PREDBID,233226
Cortlandt 26,300,274,2,2,0,0,G20PREDBID,233226
Peekskill City 1,420,80,2,5,0,0,G20PREDBID,233226
Cortlandt 25,670,181,5,3,0,1,G20PREDBID,233226
Cortlandt 6,536,88,7,1,0,0,G20PREDBID,233226
Cortlandt 8,408,134,7,1,3,0,G20PREDBID,233226
Ossining 13,347,159,2,2,1,0,G20PREDBID,233226
Cortlandt 9,291,108,1,2,2,0,G20PREDBID,233226
Cortlandt 23,461,205,0,3,0,0,G20PREDBID,233226
Cortlandt 30,382,188,2,0,1,0,G20PREDBID,233226
Cortlandt 33,360,136,3,1,0,0,G20PREDBID,233226
Cortlandt 17,208,137,2,1,1,0,G20PREDBID,233226
Rye 16,712,293,2,4,5,0,G20PREDBID,233226
Rye 17,415,197,2,4,3,1,G20PREDBID,233226
Yorktown 35,160,181,4,1,2,1,G20PREDBID,233226
Yorktown 15,259,221,2,1,4,0,G20PREDBID,233226
Yorktown 39,239,228,1,3,2,2,G20PREDBID,233226
New Castle 1,561,154,4,1,1,0,G20PREDBID,233226
North Castle 4,537,263,6,0,2,0,G20PREDBID,233226
Harrison 18,398,251,4,0,2,1,G20PREDBID,233226
Harrison 3,435,196,2,1,2,1,G20PREDBID,233226
Harrison 17,261,10,0,5,0,2,G20PREDBID,233226
Rye 31,508,177,2,0,1,0,G20PREDBID,233226
Mount Pleasant 14,572,236,8,2,5,0,G20PREDBID,233226
Mount Pleasant 41,464,153,7,2,2,0,G20PREDBID,233226
Mount Pleasant 25,440,220,2,0,1,0,G20PREDBID,233226
Cortlandt 15,511,323,7,2,5,0,G20PREDBID,233226
Cortlandt 38,531,245,7,1,4,1,G20PREDBID,233226
Ossining 6,638,178,2,4,1,0,G20PREDBID,233226
Ossining 10,466,133,2,3,0,0,G20PREDBID,233226
Ossining 7,458,132,1,3,2,0,G20PREDBID,233226
Ossining 9,384,144,2,4,0,0,G20PREDBID,233226
Ossining 4,386,126,5,1,4,3,G20PREDBID,233226
Ossining 14,521,315,3,0,3,0,G20PREDBID,233226
Ossining 11,287,141,1,5,2,0,G20PREDBID,233226
Ossining 28,583,249,3,1,2,1,G20PREDBID,233226
Ossining 12,438,228,2,1,1,0,G20PREDBID,233226
New Castle 5,565,102,5,2,1,2,G20PREDBID,233226
New Castle 16,579,101,5,1,1,0,G20PREDBID,233226
New Castle 12,449,74,7,1,1,0,G20PREDBID,233226
New Castle 3,555,134,3,0,1,0,G20PREDBID,233226
New Castle 4,462,87,6,0,1,0,G20PREDBID,233226
New Castle 10,583,147,9,2,2,0,G20PREDBID,233226
Yorktown 32,89,37,3,0,1,0,G20PREDBID,233226
New Castle 8,568,81,4,1,0,1,G20PREDBID,233226
New Castle 15,554,136,6,1,3,0,G20PREDBID,233226
Ossining 15,644,296,3,2,1,0,G20PREDBID,233226
Ossining 17,492,202,4,2,1,1,G20PREDBID,233226
Ossining 18,306,162,1,2,2,0,G20PREDBID,233226
Ossining 24,111,25,0,1,0,0,G20PREDBID,233226
Ossining 25,172,8,0,0,0,0,G20PREDBID,233226
Cortlandt 32,308,77,2,4,0,0,G20PREDBID,233226
New Castle 2,437,240,5,3,5,0,G20PREDBID,233226
Ossining 20,158,102,2,1,0,0,G20PREDBID,233226
New Castle 14,574,162,6,3,0,0,G20PREDBID,233226
New Castle 11,551,181,3,3,3,0,G20PREDBID,233226
North Castle 5,372,222,4,0,1,0,G20PREDBID,233226
Mount Pleasant 40,184,302,2,0,0,0,G20PREDBID,233226
Mount Pleasant 30,538,308,4,3,2,0,G20PREDBID,233226
New Castle 6,583,145,5,5,3,0,G20PREDBID,233226
Rye 19,333,309,3,2,2,1,G20PREDBID,233226
Rye 30,259,83,3,0,0,0,G20PREDBID,233226
Rye 14,326,186,3,2,2,0,G20PREDBID,233226
Rye 18,461,320,4,1,2,0,G20PREDBID,233226
Rye 25,351,335,6,1,1,0,G20PREDBID,233226
Greenburgh 71,351,132,3,1,1,0,G20PREDBID,233226
White Plains City 34,486,172,7,7,0,0,G20PREDBID,233226
Greenburgh 41,377,138,3,0,1,0,G20PREDBID,233226
White Plains City 32,461,114,1,0,1,0,G20PREDBID,233226
White Plains City 33,538,128,2,3,0,0,G20PREDBID,233226
White Plains City 41,748,151,1,5,2,3,G20PREDBID,233226
White Plains City 46,133,27,1,0,0,0,G20PREDBID,233226
Rye 20,343,258,1,0,2,0,G20PREDBID,233226
Rye 21,333,255,2,1,1,0,G20PREDBID,233226
Rye 23,547,144,4,1,1,0,G20PREDBID,233226
Rye 26,457,291,3,0,3,0,G20PREDBID,233226
Rye 29,528,175,4,0,5,0,G20PREDBID,233226
Rye 10,301,171,1,1,1,0,G20PREDBID,233226
Rye 9,387,152,2,0,1,2,G20PREDBID,233226
Rye 11,412,199,3,5,0,1,G20PREDBID,233226
Rye 13,514,277,5,6,3,0,G20PREDBID,233226
Rye 8,258,68,0,3,2,0,G20PREDBID,233226
Rye 7,149,35,1,0,1,0,G20PREDBID,233226
Rye 15,256,79,1,0,0,1,G20PREDBID,233226
Rye 12,411,247,7,4,2,0,G20PREDBID,233226
Rye City 14,402,245,4,1,1,0,G20PREDBID,233226
Rye City 3,368,163,7,2,2,0,G20PREDBID,233226
Rye City 4,386,229,4,1,0,0,G20PREDBID,233226
Rye City 11,393,184,4,1,3,0,G20PREDBID,233226
Rye City 8,559,219,13,3,3,3,G20PREDBID,233226
Rye 6,379,79,1,1,1,0,G20PREDBID,233226
Rye 5,373,136,4,0,0,1,G20PREDBID,233226
New Castle 7,551,169,7,3,1,0,G20PREDBID,233226
Somers 2,488,415,7,2,2,0,G20PREDBID,233226
New Castle 13,588,211,4,0,4,0,G20PREDBID,233226
Mount Kisco 2,648,356,7,4,3,0,G20PREDBID,233226
Mount Kisco 3,423,216,6,5,2,0,G20PREDBID,233226
Mount Kisco 6,534,182,4,3,2,0,G20PREDBID,233226
Mount Pleasant 37,109,226,1,3,0,0,G20PREDBID,233226
Mount Pleasant 34,148,234,1,1,4,0,G20PREDBID,233226
Ossining 30,352,125,1,1,1,0,G20PREDBID,233226
Ossining 29,380,129,7,2,1,0,G20PREDBID,233226
Ossining 1,279,84,1,2,1,0,G20PREDBID,233226
Ossining 22,388,142,0,2,0,0,G20PREDBID,233226
Ossining 2,479,138,2,1,1,0,G20PREDBID,233226
Greenburgh 79,711,173,9,5,2,1,G20PREDBID,233226
Greenburgh 60,508,101,2,1,1,0,G20PREDBID,233226
Greenburgh 10,596,209,5,2,1,0,G20PREDBID,233226
Greenburgh 50,582,289,1,2,1,0,G20PREDBID,233226
Greenburgh 78,593,77,0,2,1,0,G20PREDBID,233226
Greenburgh 44,527,115,6,3,0,0,G20PREDBID,233226
Greenburgh 63,723,139,0,1,1,0,G20PREDBID,233226
White Plains City 25,528,181,1,5,1,0,G20PREDBID,233226
White Plains City 31,238,37,1,0,0,0,G20PREDBID,233226
